Compound,Element,Anion,MW (g/mol),Temp (°C),Mass %,Molarity (M),log S,g/100mL H2O,Source
As2O3,As,O3,197.84,10,1.48,0.07480792559644157,-1.1260523879582836,1.5022330491270808,CRC
As2O3,As,O3,197.84,20,1.8,0.09098261221188839,-1.0410415982499348,1.8329938900203666,CRC
As2O3,As,O3,197.84,25,2.01,0.10159725030327536,-0.993118045932752,2.0512297173180936,CRC
As2O3,As,O3,197.84,30,2.27,0.11473918317832592,-0.9402882461601182,2.3227258774173745,CRC
As2O3,As,O3,197.84,40,2.86,0.144561261625556,-0.8399480702241979,2.9442042413012146,CRC
As2O3,As,O3,197.84,50,3.43,0.1733724221593207,-0.7610199833104703,3.5518276897587246,CRC
As2O3,As,O3,197.84,60,4.11,0.20774363121714517,-0.6824722814771716,4.286161226405256,CRC
As2O3,As,O3,197.84,70,4.89,0.24716942984229678,-0.6070052442296207,5.141415203448638,CRC
As2O3,As,O3,197.84,80,5.77,0.2916498180347756,-0.5351382901975095,6.123315292369734,CRC
As2O3,As,O3,197.84,90,6.72,0.3396684189243834,-0.4689448302994156,7.204116638078903,CRC
As2O3,As,O3,197.84,100,7.71,0.38970885564092195,-0.40925972530228394,8.354101202730522,CRC
BaBr2,Ba,Br,297.14,0,47.6,1.6019384801776941,0.20464583370054493,90.83969465648855,CRC
BaBr2,Ba,Br,297.14,10,48.5,1.6322272329541632,0.21278061958231542,94.1747572815534,CRC
BaBr2,Ba,Br,297.14,20,49.5,1.6658814027057953,0.22164407991362048,98.01980198019803,CRC
BaBr2,Ba,Br,297.14,25,50.0,1.6827084875816114,0.22600888531607052,100.0,CRC
BaBr2,Ba,Br,297.14,30,50.4,1.6961701554822644,0.22946941742557703,101.61290322580645,CRC
BaBr2,Ba,Br,297.14,40,51.4,1.7298243252338965,0.23800199997532745,105.76131687242798,CRC
BaBr2,Ba,Br,297.14,50,52.5,1.766843911960692,0.2471981843860086,110.52631578947368,CRC
BaBr2,Ba,Br,297.14,60,53.5,1.8004980817123242,0.25539266300128016,115.05376344086021,CRC
BaBr2,Ba,Br,297.14,70,54.5,1.8341522514639566,0.2634353832566942,119.78021978021978,CRC
BaBr2,Ba,Br,297.14,80,55.5,1.8678064212155887,0.271331864102728,124.71910112359551,CRC
BaBr2,Ba,Br,297.14,90,56.6,1.9048260079423842,0.2798553121683232,130.41474654377882,CRC
BaBr2,Ba,Br,297.14,100,57.6,1.9384801776940164,0.28746136440326375,135.8490566037736,CRC
Ba(BrO3)2,Ba,BrO3,393.13,0,0.285,0.007249510340091064,-2.13969132636392,0.2858145715288572,CRC
Ba(BrO3)2,Ba,BrO3,393.13,10,0.442,0.01124310024673772,-1.949113917023338,0.44396231342534,CRC
Ba(BrO3)2,Ba,BrO3,393.13,20,0.656,0.01668659222140259,-1.7776323469967696,0.6603317764535354,CRC
Ba(BrO3)2,Ba,BrO3,393.13,25,0.788,0.02004426016839214,-1.6980099688828745,0.7942587590210861,CRC
Ba(BrO3)2,Ba,BrO3,393.13,30,0.935,0.02378348129117595,-1.6237245754999121,0.943824761520214,CRC
Ba(BrO3)2,Ba,BrO3,393.13,40,1.3,0.033067941902169766,-1.4805928340655932,1.3171225937183384,CRC
